Timestamp,CPU_Usage,RAM_Usage,GPU_Usage
2024-08-07 14:54:13.778654,1.3,70.2,0.0
2024-08-07 14:54:14.865185,0.4,70.1,0.0
2024-08-07 14:54:15.967480,0.1,70.2,0.0
2024-08-07 14:54:17.065760,2.6,69.2,0.0
2024-08-07 14:54:18.167277,1.4,69.0,0.0
2024-08-07 14:54:19.280253,0.0,69.0,0.0
2024-08-07 14:54:20.388405,1.0,68.9,0.0
2024-08-07 14:54:21.486856,1.4,68.9,0.0
2024-08-07 14:54:22.599111,0.7,68.9,0.0
2024-08-07 14:54:23.700183,0.7,68.9,0.0
2024-08-07 14:54:24.792112,1.2,68.9,0.0
2024-08-07 14:54:25.888797,0.3,68.9,0.0
2024-08-07 14:54:26.986325,0.4,68.9,0.0
2024-08-07 14:54:28.095386,3.8,68.9,0.0
2024-08-07 14:54:29.192728,0.9,68.9,0.0
2024-08-07 14:54:30.297415,1.6,68.8,0.0
2024-08-07 14:54:31.397402,1.6,68.8,0.0
2024-08-07 14:54:32.496497,3.1,68.7,0.0
2024-08-07 14:54:33.596424,1.6,68.7,0.0
2024-08-07 14:54:34.695655,0.9,68.7,0.0
2024-08-07 14:54:35.803736,1.2,68.7,0.0
2024-08-07 14:54:36.898944,1.4,68.7,0.0
2024-08-07 14:54:37.997204,2.3,68.7,0.0
2024-08-07 14:54:39.092984,2.3,68.5,0.0
2024-08-07 14:54:40.188409,0.8,68.7,0.0
2024-08-07 14:54:41.301017,1.7,68.7,0.0
2024-08-07 14:54:42.397327,1.3,68.8,0.0
2024-08-07 14:54:43.498050,1.2,68.8,0.0
2024-08-07 14:54:44.594326,0.7,68.8,0.0
2024-08-07 14:54:45.690995,1.1,68.8,0.0
2024-08-07 14:54:46.786312,1.2,68.6,0.0
2024-08-07 14:54:47.886300,0.3,68.6,0.0
2024-08-07 14:54:48.987272,1.1,68.7,0.0
2024-08-07 14:54:50.087029,0.7,68.6,0.0
2024-08-07 14:54:51.186113,0.4,68.6,0.0
2024-08-07 14:54:52.288913,0.1,68.5,0.0
2024-08-07 14:54:53.388591,0.8,68.6,0.0
2024-08-07 14:54:54.480494,1.0,68.5,0.0
2024-08-07 14:54:55.581246,0.7,68.6,0.0
2024-08-07 14:54:56.680393,0.5,68.6,0.0
2024-08-07 14:54:57.780834,1.1,68.6,0.0
2024-08-07 14:54:58.885291,0.5,68.6,0.0
2024-08-07 14:54:59.981355,0.3,68.6,0.0
2024-08-07 14:55:01.080681,0.8,68.6,0.0
2024-08-07 14:55:02.182227,0.5,68.6,0.0
2024-08-07 14:55:03.284834,0.1,68.8,0.0
2024-08-07 14:55:04.386069,2.6,68.6,2.0
2024-08-07 14:55:05.490999,0.5,68.7,0.0
2024-08-07 14:55:06.586469,0.1,68.6,0.0
2024-08-07 14:55:07.687591,0.7,68.7,0.0
2024-08-07 14:55:08.786858,0.1,68.6,0.0
2024-08-07 14:55:09.888729,1.2,68.6,0.0
2024-08-07 14:55:10.991150,1.2,68.8,0.0
2024-08-07 14:55:12.099146,1.3,68.8,0.0
2024-08-07 14:55:13.203931,0.7,68.7,0.0
2024-08-07 14:55:14.304792,0.8,68.7,0.0
2024-08-07 14:55:15.406816,0.7,68.7,0.0
2024-08-07 14:55:16.504251,0.5,68.6,0.0
2024-08-07 14:55:17.599871,0.8,68.6,0.0
2024-08-07 14:55:18.702742,1.6,68.6,0.0
2024-08-07 14:55:19.794596,1.1,68.6,0.0
2024-08-07 14:55:20.895966,0.9,68.6,0.0
2024-08-07 14:55:21.987866,6.2,68.1,0.0
2024-08-07 14:55:23.098246,1.4,68.1,0.0
2024-08-07 14:55:24.195350,0.7,68.1,0.0
2024-08-07 14:55:25.305400,0.8,68.1,0.0
2024-08-07 14:55:26.398433,1.2,68.3,0.0
2024-08-07 14:55:27.502045,1.2,68.1,0.0
2024-08-07 14:55:28.599984,0.9,68.2,0.0
2024-08-07 14:55:29.694896,2.1,68.1,0.0
2024-08-07 14:55:30.797743,1.3,68.1,0.0
2024-08-07 14:55:31.902086,0.8,68.1,0.0
2024-08-07 14:55:33.002907,0.8,68.1,0.0
2024-08-07 14:55:34.101529,0.9,68.1,0.0
2024-08-07 14:55:35.210190,1.0,68.2,1.0
2024-08-07 14:55:36.314734,0.9,68.2,0.0
2024-08-07 14:55:37.413144,0.7,68.2,0.0
2024-08-07 14:55:38.516436,0.7,68.1,0.0
2024-08-07 14:55:39.614439,0.5,68.2,0.0
2024-08-07 14:55:40.711666,1.1,68.2,0.0
2024-08-07 14:55:41.802208,1.1,68.4,0.0
2024-08-07 14:55:42.909552,1.2,68.3,0.0
2024-08-07 14:55:44.019570,0.5,68.3,0.0
2024-08-07 14:55:45.120049,0.6,68.2,0.0
2024-08-07 14:55:46.219723,0.8,68.3,0.0
2024-08-07 14:55:47.337933,0.7,68.2,0.0
2024-08-07 14:55:48.431749,1.0,68.2,0.0
2024-08-07 14:55:49.533959,0.8,68.2,0.0
2024-08-07 14:55:50.633742,0.7,68.1,0.0
2024-08-07 14:55:51.734422,2.5,68.0,0.0
2024-08-07 14:55:52.822190,0.9,68.0,0.0
2024-08-07 14:55:53.922447,1.0,68.0,0.0
2024-08-07 14:55:55.024071,1.2,68.0,0.0
2024-08-07 14:55:56.123061,1.2,68.0,0.0
2024-08-07 14:55:57.216512,0.4,68.0,0.0
2024-08-07 14:55:58.325508,4.2,68.0,0.0
2024-08-07 14:55:59.434170,0.6,68.0,0.0
2024-08-07 14:56:00.528766,1.2,68.0,0.0
2024-08-07 14:56:01.630634,0.3,68.0,0.0
2024-08-07 14:56:02.742558,0.5,68.0,0.0
2024-08-07 14:56:03.829960,0.7,68.0,0.0
2024-08-07 14:56:04.926241,1.1,68.0,0.0
2024-08-07 14:56:06.026879,0.5,67.9,0.0
2024-08-07 14:56:07.125186,0.7,67.9,0.0
2024-08-07 14:56:08.227243,4.5,68.2,0.0
2024-08-07 14:56:09.325652,3.9,68.4,4.0
2024-08-07 14:56:10.430451,3.3,68.4,6.0
2024-08-07 14:56:11.528852,1.2,68.5,0.0
2024-08-07 14:56:12.631896,1.2,68.6,0.0
2024-08-07 14:56:13.729018,3.4,68.4,5.0
2024-08-07 14:56:14.825913,3.3,68.5,0.0
2024-08-07 14:56:15.924358,0.5,68.4,0.0
2024-08-07 14:56:17.022653,2.5,68.4,11.0
2024-08-07 14:56:18.128926,1.3,68.4,0.0
2024-08-07 14:56:19.239977,3.2,68.5,1.0
2024-08-07 14:56:20.350300,5.2,68.8,10.0
2024-08-07 14:56:21.463257,4.0,69.3,2.0
2024-08-07 14:56:22.569007,4.2,69.7,4.0
2024-08-07 14:56:23.678079,1.3,69.7,0.0
2024-08-07 14:56:24.797453,3.1,69.6,7.000000000000001
2024-08-07 14:56:25.893663,3.0,69.6,2.0
2024-08-07 14:56:27.000878,5.9,69.8,10.0
2024-08-07 14:56:28.110193,2.3,69.7,0.0
2024-08-07 14:56:29.206736,1.3,69.7,2.0
2024-08-07 14:56:30.306013,4.9,69.5,1.0
2024-08-07 14:56:31.405105,4.2,70.0,15.0
2024-08-07 14:56:32.534856,3.8,69.8,6.0
2024-08-07 14:56:33.633288,2.1,69.8,2.0
2024-08-07 14:56:34.744292,1.7,69.7,1.0
2024-08-07 14:56:35.849337,5.5,70.0,6.0
2024-08-07 14:56:36.957317,6.2,70.3,9.0
2024-08-07 14:56:38.063618,4.5,70.2,2.0
2024-08-07 14:56:39.192332,3.4,70.5,4.0
2024-08-07 14:56:40.302238,4.3,70.4,10.0
2024-08-07 14:56:41.401532,3.7,70.4,0.0
2024-08-07 14:56:42.507102,4.2,70.4,8.0
2024-08-07 14:56:43.611757,2.9,70.3,2.0
2024-08-07 14:56:44.728469,1.2,70.1,1.0
2024-08-07 14:56:45.840471,3.7,70.1,5.0
2024-08-07 14:56:46.942260,3.1,70.5,0.0
2024-08-07 14:56:48.055242,3.8,70.5,4.0
2024-08-07 14:56:49.159593,5.8,70.5,0.0
2024-08-07 14:56:50.262303,1.4,70.5,3.0
2024-08-07 14:56:51.368776,1.8,70.2,0.0
2024-08-07 14:56:52.466686,2.4,70.2,2.0
2024-08-07 14:56:53.566236,6.7,70.2,6.0
2024-08-07 14:56:54.667626,1.7,70.2,6.0
2024-08-07 14:56:55.793398,9.7,70.3,7.000000000000001
2024-08-07 14:56:56.926145,14.6,70.3,2.0
2024-08-07 14:56:58.027341,4.2,70.2,7.000000000000001
2024-08-07 14:56:59.124972,2.5,70.4,6.0
2024-08-07 14:57:00.233726,1.2,70.3,5.0
2024-08-07 14:57:01.334551,2.9,70.3,7.000000000000001
2024-08-07 14:57:02.435128,2.3,70.1,7.000000000000001
2024-08-07 14:57:03.542088,2.3,70.1,7.000000000000001
2024-08-07 14:57:04.666274,4.3,70.3,6.0
2024-08-07 14:57:05.786980,10.3,70.5,1.0
2024-08-07 14:57:06.889959,2.9,70.2,5.0
2024-08-07 14:57:08.000636,2.7,70.4,0.0
2024-08-07 14:57:09.099631,0.7,70.4,0.0
2024-08-07 14:57:10.202141,0.9,70.4,0.0
2024-08-07 14:57:11.326948,2.5,70.1,4.0
2024-08-07 14:57:12.425920,0.8,70.2,0.0
2024-08-07 14:57:13.532069,0.6,70.1,0.0
2024-08-07 14:57:14.650966,2.5,69.3,0.0
2024-08-07 14:57:15.750386,1.9,69.1,0.0
2024-08-07 14:57:16.848924,0.4,69.3,0.0
2024-08-07 14:57:17.957758,1.2,69.3,0.0
2024-08-07 14:57:19.049556,0.7,69.1,0.0
2024-08-07 14:57:20.159398,1.0,69.3,0.0
2024-08-07 14:57:21.265001,0.4,69.3,0.0
2024-08-07 14:57:22.368513,0.7,69.3,0.0
2024-08-07 14:57:23.474424,0.3,69.2,0.0
2024-08-07 14:57:24.574489,0.7,69.3,0.0
2024-08-07 14:57:25.674218,0.4,69.3,0.0
2024-08-07 14:57:26.783538,0.5,69.1,0.0
2024-08-07 14:57:27.873753,0.4,69.1,0.0
2024-08-07 14:57:28.973083,0.8,69.2,0.0
2024-08-07 14:57:30.078930,1.0,69.1,0.0
2024-08-07 14:57:31.175326,1.1,69.2,0.0
2024-08-07 14:57:32.284528,2.1,68.5,0.0
2024-08-07 14:57:33.391673,1.1,68.4,0.0
2024-08-07 14:57:34.490351,0.4,68.4,0.0
2024-08-07 14:57:35.592699,0.9,68.2,0.0
2024-08-07 14:57:36.695729,0.3,68.2,0.0
2024-08-07 14:57:37.797708,0.8,68.3,0.0
2024-08-07 14:57:38.896319,0.8,68.3,0.0
2024-08-07 14:57:40.003724,1.4,68.3,0.0
2024-08-07 14:57:41.103580,1.3,68.2,0.0
2024-08-07 14:57:42.208611,0.0,68.2,0.0
2024-08-07 14:57:43.319994,0.4,68.2,0.0
2024-08-07 14:57:44.427431,0.4,68.2,0.0
2024-08-07 14:57:45.526232,1.2,68.2,0.0
2024-08-07 14:57:46.626000,0.7,68.1,0.0
2024-08-07 14:57:47.727399,0.9,68.2,0.0
2024-08-07 14:57:48.830776,1.0,68.1,0.0
2024-08-07 14:57:49.929864,0.7,68.2,0.0
2024-08-07 14:57:51.026375,1.0,68.2,0.0
2024-08-07 14:57:52.127586,1.0,68.2,0.0
2024-08-07 14:57:53.221355,2.7,68.1,0.0
2024-08-07 14:57:54.322950,0.8,68.1,0.0
2024-08-07 14:57:55.423303,0.3,68.1,0.0
2024-08-07 14:57:56.523689,1.4,68.1,0.0
2024-08-07 14:57:57.627619,0.9,68.1,0.0
2024-08-07 14:57:58.727267,1.7,68.2,0.0
2024-08-07 14:57:59.818941,0.8,68.2,0.0
2024-08-07 14:58:00.922041,0.4,68.2,0.0
2024-08-07 14:58:02.026551,0.8,68.3,0.0
2024-08-07 14:58:03.132596,1.1,68.4,0.0
2024-08-07 14:58:04.240565,0.6,68.4,0.0
2024-08-07 14:58:05.338992,0.7,68.2,0.0
2024-08-07 14:58:06.439573,1.3,68.4,0.0
2024-08-07 14:58:07.541389,0.5,68.2,0.0
2024-08-07 14:58:08.648715,0.3,68.3,0.0
2024-08-07 14:58:09.757586,2.1,68.3,0.0
2024-08-07 14:58:10.854660,1.4,68.3,0.0
2024-08-07 14:58:11.953670,0.4,68.3,0.0
2024-08-07 14:58:13.055716,1.0,68.2,0.0
2024-08-07 14:58:14.163678,0.6,68.1,0.0
2024-08-07 14:58:15.275713,0.8,68.2,0.0
2024-08-07 14:58:16.376784,0.3,68.2,0.0
2024-08-07 14:58:17.479505,1.1,68.2,0.0
2024-08-07 14:58:18.578564,0.5,68.2,0.0
2024-08-07 14:58:19.686787,1.4,68.2,0.0
2024-08-07 14:58:20.786235,0.1,68.2,0.0
2024-08-07 14:58:21.885406,1.2,68.2,0.0
